,id,Nv
0,100,1260
1,1360,50
2,1409,118
3,1527,587
4,2114,32
5,2146,193
6,2339,1
7,2340,643
8,2983,498
9,3481,28
10,3509,76
11,3584,34
12,3618,31
13,3649,58
14,3707,17
15,3724,50
16,3774,9
17,3782,61
18,3843,34
19,3877,24
20,3900,27
21,3927,59
22,3986,143
23,4129,281
24,4410,29
25,4438,26
26,4464,69
27,4533,97
28,4630,28
29,4658,25
30,4683,82
31,4765,31
32,4796,33
33,4829,17
34,4846,75
35,4921,27
36,4948,148
37,5095,0
38,5095,28
39,5123,7
40,5129,26
41,5155,22
42,5177,28
43,5205,55
44,5260,49
45,5309,23
46,5331,23
47,5354,10
48,5364,137
49,5501,88
50,5589,86
51,5675,161
52,5836,34
53,5870,27
54,5897,23
55,5920,0
56,5920,73
57,5992,33
58,6025,89
59,6114,75
60,6189,29
61,6217,34
62,6251,130
63,6381,28
64,6408,60
65,6468,83
66,6551,101
67,6652,0
68,6652,23
69,6674,29
70,6702,29
71,6731,21
72,6751,61
73,6812,28
74,6839,10
75,6848,33
76,6881,33
77,6914,36
78,6950,28
79,6978,71
80,7049,95
81,7144,22
82,7165,34
83,7199,107
84,7306,23
85,7328,185
86,7513,29
87,7541,196
88,7737,113
89,7850,0
90,7850,24
91,7873,0
92,7873,93
93,7966,33
94,7999,130
95,8129,34
96,8163,6
97,8169,34
98,8203,29
99,8231,23
